id,position,label,description,start_date,term,end_date,replaces,replaced_by
Q16214447,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16214458,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16214535,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16215031,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16215452,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16215848,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16215870,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16215889,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16215979,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16217470,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16217695,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16218849,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16221074,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16221420,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16221446,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16221813,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16221829,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16223448,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16231449,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16728905,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16731918,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16732202,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16732704,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16732939,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16733054,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16733084,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16733187,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16733506,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16733513,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16733751,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16864829,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16864891,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16866580,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16873094,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16873347,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16875220,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16875234,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q19561408,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q19586123,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q20604960,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q20725579,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q21064276,Q17599130,Member of the National Assembly of Tanzania,"","",11th Parliament of Tanzania,,,
Q29579610,Q17599130,Member of the National Assembly of Tanzania,"","",11th Parliament of Tanzania,,,
Q29579658,Q17599130,Member of the National Assembly of Tanzania,"","",11th Parliament of Tanzania,,,
Q29579700,Q17599130,Member of the National Assembly of Tanzania,"","",11th Parliament of Tanzania,,,
Q29904609,Q17599130,Member of the National Assembly of Tanzania,"","",11th Parliament of Tanzania,,,
Q302913,Q16147875,Prime Minister of Tanzania,"",1995-11-27,,2005-12-30,Cleopa Msuya,Edward Lowassa
Q302913,Q16147875,Prime Minister of Tanzania,"",1995-11-28,,2005-12-30,Cleopa Msuya,Edward Lowassa
Q302913,Q17599130,Member of the National Assembly of Tanzania,"",1983,,2005,,Mary Nagu
Q3372746,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q3372754,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q3372771,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q3372781,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q3372802,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q451885,Q16147875,Prime Minister of Tanzania,"",2005-12-30,,2008-02-09,Frederick Sumaye,Mizengo Pinda
Q451885,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q455223,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q455223,Q30277603,Member of the Pan-African Parliament,"","",,,,
Q456003,Q14866850,"Ministry of Lands, Housing and Human Settlements Developments","",2010,,2014,,
Q456003,Q17599130,Member of the National Assembly of Tanzania,"",2010,,2020,,
Q4664665,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q4665005,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q4670491,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q4699150,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q4724837,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q4724920,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q4725243,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q4742070,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q4742159,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q4756599,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q4764431,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q4768588,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q4804509,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q4815692,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q4815692,Q30277603,Member of the Pan-African Parliament,"","",,,,
Q4832710,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q4845816,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q4849016,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q4869270,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q4985236,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q4985242,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q4985246,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5018704,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5018715,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5018728,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5018747,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
